Endpoints & Model,Internal AUROC (95% CI),Internal Brier,External AUROC (95% CI),External Brier
Primary Endpoint (POF),,,,
Full-feature XGBoost (n=12),0.845 (0.781-0.895),0.157,0.847 (0.824-0.870),0.165
Parsimonious XGBoost (n=3),0.848 (0.795-0.901),0.156,0.839 (0.815-0.862),0.175
Random Forest (n=12),0.848 (0.788-0.899),0.156,0.859 (0.837-0.880),0.164
SVM (n=12),0.853 (0.796-0.903),0.151,0.848 (0.826-0.871),0.161
Logistic Regression (n=12),0.846 (0.787-0.898),0.153,0.736 (0.706-0.767),0.21
Decision Tree (n=12),0.839 (0.777-0.890),0.161,0.824 (0.799-0.848),0.176
Secondary Endpoint (28-day Mortality),,,,
Full-feature XGBoost (n=12),0.857 (0.782-0.917),0.1,0.841 (0.804-0.876),0.064
Parsimonious XGBoost (n=6),0.809 (0.736-0.881),0.11,0.847 (0.812-0.881),0.068
Logistic Regression (n=12),0.876 (0.812-0.929),0.098,0.810 (0.767-0.852),0.067
Composite Endpoint,,,,
Full-feature XGBoost (n=12),0.866 (0.816-0.913),0.15,0.857 (0.834-0.878),0.16
Parsimonious XGBoost (n=4),0.866 (0.822-0.913),0.147,0.852 (0.828-0.872),0.166
