Endpoint,Feature,Feature Display Name,Coefficient (beta),Abs Coefficient
Primary endpoint (POF),creatinine_max,Creat (max),0.5222,0.5222
Primary endpoint (POF),pao2fio2ratio_min,P/F (min),-0.4608,0.4608
Primary endpoint (POF),ph_min,pH (min),-0.3176,0.3176
Primary endpoint (POF),albumin_min,Alb (min),-0.1768,0.1768
Primary endpoint (POF),albumin_max,Alb (max),-0.1415,0.1415
Primary endpoint (POF),alp_min,ALP (min),-0.1109,0.1109
Primary endpoint (POF),wbc_max,WBC (max),0.1011,0.1011
Primary endpoint (POF),spo2_max,SpO2 (max),0.0878,0.0878
Primary endpoint (POF),bun_min,BUN (min),0.0732,0.0732
Primary endpoint (POF),lactate_max,Lac (max),0.0638,0.0638
Primary endpoint (POF),spo2_slope,SpO2 slope,0.0352,0.0352
Primary endpoint (POF),phosphate_min,Phos (min),0.021,0.021
Secondary endpoint (28-day mortality),admission_age,Age,0.4581,0.4581
Secondary endpoint (28-day mortality),bun_max,BUN (max),0.3569,0.3569
Secondary endpoint (28-day mortality),ptt_min,PTT (min),0.3298,0.3298
Secondary endpoint (28-day mortality),lactate_max,Lac (max),0.308,0.308
Secondary endpoint (28-day mortality),hemoglobin_min,Hgb (min),-0.2307,0.2307
Secondary endpoint (28-day mortality),wbc_min,WBC (min),0.2025,0.2025
Secondary endpoint (28-day mortality),pao2fio2ratio_min,P/F (min),-0.1764,0.1764
Secondary endpoint (28-day mortality),spo2_min,SpO2 (min),-0.1447,0.1447
Secondary endpoint (28-day mortality),tbar,TBAR,0.1399,0.1399
Secondary endpoint (28-day mortality),albumin_max,Alb (max),-0.1265,0.1265
Secondary endpoint (28-day mortality),malignant_tumor,Malignancy,0.1172,0.1172
Secondary endpoint (28-day mortality),glucose_min,Glu (min),0.1144,0.1144
Composite endpoint,pao2fio2ratio_min,P/F (min),-0.4284,0.4284
Composite endpoint,creatinine_max,Creat (max),0.353,0.353
Composite endpoint,ph_min,pH (min),-0.2731,0.2731
Composite endpoint,albumin_min,Alb (min),-0.2673,0.2673
Composite endpoint,bun_min,BUN (min),0.2383,0.2383
Composite endpoint,lactate_max,Lac (max),0.1375,0.1375
Composite endpoint,wbc_max,WBC (max),0.1064,0.1064
Composite endpoint,ptt_min,PTT (min),0.067,0.067
Composite endpoint,hemoglobin_min,Hgb (min),-0.0664,0.0664
Composite endpoint,aniongap_min,AG (min),0.0503,0.0503
Composite endpoint,albumin_max,Alb (max),-0.017,0.017
Composite endpoint,spo2_slope,SpO2 slope,0.0168,0.0168
