Endpoint,Outcome,Group,Model,AUC (95% CI),Sens.,Spec.,F1,Optimal Cut-off
Primary,POF,Full Population,SVM,0.853 (0.795–0.903),0.897,0.720,0.772,0.370
Primary,POF,Full Population,XGBoost,0.847 (0.785–0.899),0.759,0.803,0.737,0.471
Primary,POF,Full Population,Logistic Regression,0.846 (0.787–0.898),0.816,0.758,0.747,0.452
Primary,POF,Full Population,Random Forest,0.842 (0.782–0.894),0.747,0.811,0.735,0.505
Primary,POF,Full Population,Decision Tree,0.818 (0.749–0.873),0.816,0.758,0.747,0.402
Primary,POF,Subgroup (No Renal),Logistic Regression,0.771 (0.662–0.878),0.577,0.895,0.588,0.452
Primary,POF,Subgroup (No Renal),SVM,0.770 (0.652–0.885),0.654,0.863,0.607,0.370
Primary,POF,Subgroup (No Renal),Random Forest,0.756 (0.640–0.868),0.500,0.905,0.542,0.505
Primary,POF,Subgroup (No Renal),XGBoost,0.747 (0.628–0.869),0.500,0.905,0.542,0.471
Primary,POF,Subgroup (No Renal),Decision Tree,0.664 (0.537–0.800),0.538,0.832,0.500,0.402
Secondary,MORTALITY,Full Population,Logistic Regression,0.876 (0.812–0.929),0.789,0.834,0.612,0.222
Secondary,MORTALITY,Full Population,XGBoost,0.865 (0.793–0.925),0.711,0.873,0.614,0.333
Secondary,MORTALITY,Full Population,SVM,0.864 (0.799–0.919),0.921,0.718,0.565,0.139
Secondary,MORTALITY,Full Population,Random Forest,0.861 (0.785–0.920),0.895,0.685,0.527,0.138
Secondary,MORTALITY,Full Population,Decision Tree,0.791 (0.708–0.862),0.711,0.784,0.519,0.205
Secondary,MORTALITY,Subgroup (No Renal),Logistic Regression,0.804 (0.618–0.950),0.500,0.903,0.348,0.222
Secondary,MORTALITY,Subgroup (No Renal),SVM,0.789 (0.534–0.954),0.750,0.841,0.375,0.139
Secondary,MORTALITY,Subgroup (No Renal),XGBoost,0.752 (0.508–0.921),0.375,0.938,0.333,0.333
Secondary,MORTALITY,Subgroup (No Renal),Random Forest,0.735 (0.512–0.902),0.500,0.814,0.242,0.138
Secondary,MORTALITY,Subgroup (No Renal),Decision Tree,0.656 (0.433–0.850),0.375,0.858,0.222,0.205
Composite,COMPOSITE,Full Population,SVM,0.881 (0.835–0.924),0.816,0.785,0.784,0.492
Composite,COMPOSITE,Full Population,XGBoost,0.868 (0.818–0.913),0.806,0.810,0.790,0.520
Composite,COMPOSITE,Full Population,Logistic Regression,0.867 (0.817–0.912),0.837,0.769,0.788,0.453
Composite,COMPOSITE,Full Population,Random Forest,0.867 (0.816–0.914),0.786,0.818,0.782,0.567
Composite,COMPOSITE,Full Population,Decision Tree,0.840 (0.782–0.892),0.827,0.752,0.775,0.507
Composite,COMPOSITE,Subgroup (No Renal),SVM,0.790 (0.681–0.880),0.533,0.879,0.561,0.492
Composite,COMPOSITE,Subgroup (No Renal),XGBoost,0.769 (0.665–0.864),0.500,0.890,0.545,0.520
Composite,COMPOSITE,Subgroup (No Renal),Random Forest,0.764 (0.661–0.857),0.500,0.879,0.536,0.567
Composite,COMPOSITE,Subgroup (No Renal),Logistic Regression,0.764 (0.663–0.855),0.600,0.868,0.600,0.453
Composite,COMPOSITE,Subgroup (No Renal),Decision Tree,0.701 (0.573–0.820),0.600,0.846,0.581,0.507
