Feature,Display_name,OR,OR_95CI_Lower,OR_95CI_Upper,Coef
glucose_min,Glu (min),1.33,0.42,1.41,0.28
malignant_tumor,Malignancy,1.74,0.50,2.47,0.55
albumin_max,Alb (max),0.68,0.38,1.10,-0.39
tbar,TBAR,1.43,0.86,2.95,0.36
spo2_min,SpO2 (min),0.92,0.38,1.39,-0.09
pao2fio2ratio_min,P/F (min),0.61,0.52,1.45,-0.49
wbc_min,WBC (min),1.47,1.20,3.23,0.39
hemoglobin_min,Hgb (min),0.63,0.84,2.61,-0.46
lactate_max,Lac (max),1.50,1.21,4.27,0.41
ptt_min,PTT (min),1.41,1.17,3.52,0.35
bun_max,BUN (max),2.05,1.12,4.67,0.72
admission_age,Age,1.96,0.92,3.95,0.67
