Feature,Display_name,OR,OR_95CI_Lower,OR_95CI_Upper,Coef
wbc_max,WBC (max),1.29,0.74,1.57,0.25
albumin_min,Alb (min),0.74,0.45,2.06,-0.30
albumin_max,Alb (max),0.81,0.36,1.49,-0.21
bun_min,BUN (min),1.23,0.55,1.55,0.21
creatinine_max,Creat (max),1.75,1.29,3.83,0.56
alp_min,ALP (min),0.65,0.49,1.04,-0.42
phosphate_min,Phos (min),1.12,0.70,2.17,0.12
lactate_max,Lac (max),1.07,0.69,1.55,0.07
spo2_max,SpO2 (max),1.43,1.02,2.19,0.36
spo2_slope,SpO2 slope,1.03,0.56,1.27,0.03
ph_min,pH (min),0.65,0.34,0.83,-0.43
pao2fio2ratio_min,P/F (min),0.50,0.25,0.73,-0.69
