Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,F1_Score,Accuracy,Algorithm,Group,Outcome,AUC,Subgroup_Specific_Th
0.3636,76,40,92,11,0.8736,0.697,0.6552,0.8932,0.7488,0.7671,XGBoost,Full Population,pof,0.8472,
0.3636,17,17,78,9,0.6538,0.8211,0.5,0.8966,0.5667,0.7851,XGBoost,Subgroup (Non-Renal),pof,0.7575,0.3636
0.4936,66,26,106,21,0.7586,0.803,0.7174,0.8346,0.7374,0.7854,Random Forest,Full Population,pof,0.8461,
0.4936,14,9,86,12,0.5385,0.9053,0.6087,0.8776,0.5714,0.8264,Random Forest,Subgroup (Non-Renal),pof,0.7698,0.3852
0.3669,78,37,95,9,0.8966,0.7197,0.6783,0.9135,0.7723,0.79,SVM,Full Population,pof,0.8526,
0.3669,17,13,82,9,0.6538,0.8632,0.5667,0.9011,0.6071,0.8182,SVM,Subgroup (Non-Renal),pof,0.7698,0.3669
0.3967,71,31,101,16,0.8161,0.7652,0.6961,0.8632,0.7513,0.7854,Decision Tree,Full Population,pof,0.8236,
0.3967,14,13,82,12,0.5385,0.8632,0.5185,0.8723,0.5283,0.7934,Decision Tree,Subgroup (Non-Renal),pof,0.6719,0.4607
0.452,71,32,100,16,0.8161,0.7576,0.6893,0.8621,0.7474,0.7808,Logistic Regression,Full Population,pof,0.8459,
0.452,15,10,85,11,0.5769,0.8947,0.6,0.8854,0.5882,0.8264,Logistic Regression,Subgroup (Non-Renal),pof,0.7711,0.5409
