Feature,OR,OR_Lower,OR_Upper,Coef,display_name
wbc_max,1.285546724025796,0.7360842616614167,1.5695862852821512,0.2511840940300525,WBC (max)
albumin_min,0.7425225189045581,0.44657394309070575,2.0646284576215543,-0.2977020802741944,Alb (min)
albumin_max,0.8104175199558677,0.3568290765984056,1.4901273048352364,-0.21020570738220273,Alb (max)
bun_min,1.230862844245457,0.5451426707686846,1.5471227338468951,0.207715422835191,BUN (min)
creatinine_max,1.7545766284701745,1.2919590966336796,3.825931921097598,0.5622275904764898,Creat (max)
alp_min,0.6539538125321221,0.4893265350870748,1.0381307995098592,-0.42471855305843126,ALP (min)
phosphate_min,1.1222233858497308,0.7025158250386129,2.1747605430912147,0.11531188340625645,Phos (min)
lactate_max,1.0707902133304232,0.6899290406640699,1.554303544467356,0.06839689303546494,Lac (max)
spo2_max,1.4331438332352606,1.0221644051922107,2.1865572241452,0.35987051592022934,SpO2 (max)
spo2_slope,1.0311935412943891,0.5618401738419257,1.26872702903092,0.03071690933229234,SpO2 slope
ph_min,0.6521754551761789,0.33969964001791575,0.827709247234862,-0.4274416502262609,pH (min)
pao2fio2ratio_min,0.500902947299507,0.2465354715633938,0.7293254957041474,-0.6913429146280767,P/F (min)
