Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,F1_Score,Accuracy,Algorithm,Group,Outcome,AUC,Subgroup_Specific_Th
0.5313,71,11,111,27,0.7245,0.9098,0.8659,0.8043,0.7889,0.8273,XGBoost,Full Population,composite,0.8842,
0.5313,11,4,87,16,0.4074,0.956,0.7333,0.8447,0.5238,0.8305,XGBoost,Subgroup (Non-Renal),composite,0.7914,0.3278
0.5142,72,12,110,26,0.7347,0.9016,0.8571,0.8088,0.7912,0.8273,Random Forest,Full Population,composite,0.8869,
0.5142,10,4,87,17,0.3704,0.956,0.7143,0.8365,0.4878,0.822,Random Forest,Subgroup (Non-Renal),composite,0.7869,0.2894
0.6036,70,10,112,28,0.7143,0.918,0.875,0.8,0.7865,0.8273,SVM,Full Population,composite,0.8791,
0.6036,9,2,89,18,0.3333,0.978,0.8182,0.8318,0.4737,0.8305,SVM,Subgroup (Non-Renal),composite,0.7646,0.3478
0.5102,71,13,109,27,0.7245,0.8934,0.8452,0.8015,0.7802,0.8182,Decision Tree,Full Population,composite,0.8698,
0.5102,9,5,86,18,0.3333,0.9451,0.6429,0.8269,0.439,0.8051,Decision Tree,Subgroup (Non-Renal),composite,0.7727,0.2751
0.5262,76,14,108,22,0.7755,0.8852,0.8444,0.8308,0.8085,0.8364,Logistic Regression,Full Population,composite,0.8722,
0.5262,14,5,86,13,0.5185,0.9451,0.7368,0.8687,0.6087,0.8475,Logistic Regression,Subgroup (Non-Renal),composite,0.7674,0.452
