Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,F1_Score,Accuracy,Algorithm,Group,Outcome,AUC,Subgroup_Specific_Th
0.2758,28,30,151,10,0.7368,0.8343,0.4828,0.9379,0.5833,0.8174,XGBoost,Full Population,mortality,0.8599,
0.2758,3,11,102,5,0.375,0.9027,0.2143,0.9533,0.2727,0.8678,XGBoost,Subgroup (Non-Renal),mortality,0.7428,0.062
0.2401,29,31,150,9,0.7632,0.8287,0.4833,0.9434,0.5918,0.8174,Random Forest,Full Population,mortality,0.859,
0.2401,3,12,101,5,0.375,0.8938,0.2,0.9528,0.2609,0.8595,Random Forest,Subgroup (Non-Renal),mortality,0.7235,0.0401
0.1327,35,56,125,3,0.9211,0.6906,0.3846,0.9766,0.5426,0.7306,SVM,Full Population,mortality,0.8626,
0.1327,6,21,92,2,0.75,0.8142,0.2222,0.9787,0.3429,0.8099,SVM,Subgroup (Non-Renal),mortality,0.7832,0.1387
0.1648,29,53,128,9,0.7632,0.7072,0.3537,0.9343,0.4833,0.7169,Decision Tree,Full Population,mortality,0.7831,
0.1648,3,22,91,5,0.375,0.8053,0.12,0.9479,0.1818,0.7769,Decision Tree,Subgroup (Non-Renal),mortality,0.6399,0.0834
0.2218,30,30,151,8,0.7895,0.8343,0.5,0.9497,0.6122,0.8265,Logistic Regression,Full Population,mortality,0.8761,
0.2218,4,11,102,4,0.5,0.9027,0.2667,0.9623,0.3478,0.876,Logistic Regression,Subgroup (Non-Renal),mortality,0.8042,0.1178
